Id	Node1	Node2	Property1	Property2	Property3	Property4
MIN_VAL	NA	NA	5	-6	0	NA
MAX_VAL	NA	NA	23	2.8	1	NA
USE_AS	S	E	C	W	D	L
0	0	1	10	2	0.2	AAA
1	3	5	12	-2	0.3	BBB
2	2	1	19	-3	0.9	CCC
3	12	1	14	-3.1	0.077	DDD
4	10	11	16	1	0.02	EEE
5	9	11	19	2	0.049	FFF
6	2	1	20	-2.7	0.025	GGG
7	4	12	5	-4	0.047	HHH
8	10	5	12	-3.3	0.017	III
9	6	13	8	-2	0.029	JJJ
10	7	13	5	1	0.005	KKK
11	4	14	5	-3.3	0.048	LLL
12	8	9	10	-5	0.016	MMM
13	5	13	6	-4	0.046	NNN
14	6	9	10	-5.8	0.003	OOO
15	2	7	7	-3	0.064	PPP
16	6	14	17	0	0.018	QQQ
17	8	7	5	-1.1	0.005	RRR
