Id	Node1	Node2
MIN_VAL	NA	NA
MAX_VAL	NA	NA
USE_AS	S	E
0	0	1
1	3	5
2	2	1
3	12	1
4	10	11
5	9	11
6	2	1
7	4	12
8	10	5
9	6	13
10	7	13
11	4	14
12	8	9
13	5	13
14	6	9
15	2	7
16	6	14
17	8	7
18	42	53
19	11	46
20	95	37
21	49	47
22	94	5
23	70	88
24	85	89
25	79	90
26	85	34
27	78	3
28	65	9
29	62	18
30	90	68
31	78	38
32	40	51
33	18	89
34	15	41
35	6	71
36	94	73
37	51	10
38	95	26
39	95	22
40	8	63
41	54	11
42	66	63
43	51	84
44	73	27
45	95	38
46	20	1
47	73	85
48	75	64
49	22	19
50	24	30
51	64	67
52	10	30
53	85	2
54	42	61
55	41	44
56	95	84
57	2	48
58	56	82
59	91	52
60	27	82
61	79	40
62	95	11
63	86	90
64	84	11
65	95	24
66	95	93
67	23	70
68	79	84
69	90	95
70	85	38
71	47	65
72	41	88
73	21	71
74	40	49
75	81	77
76	56	87
77	53	16
78	74	65
79	62	42
80	41	5
81	8	81
82	43	34
83	16	16
84	74	64
85	13	30
86	20	57
87	52	14
88	7	22
89	29	85
90	10	68
91	38	51
92	10	76
93	81	65
94	74	34
95	1	75
96	22	53
97	69	32
98	27	88
99	63	41
100	72	70
101	71	63
102	69	56
103	16	21
104	34	88
105	42	44
106	48	27
107	65	25
108	51	95
109	17	83
110	90	33
111	28	71
112	35	3
113	28	65
114	68	26
115	74	12
116	88	1
117	39	57
118	32	49
119	82	74
120	31	22
121	89	25
122	45	92
123	71	40
124	79	50
125	42	22
126	89	16
127	13	42
128	45	59
129	35	72
130	44	85
131	91	76
132	78	48
133	30	2
134	89	77
135	39	49
136	49	18
137	29	68
138	60	67
139	75	46
140	93	65
141	38	63
142	19	20
143	33	57
144	21	83
145	73	14
146	72	87
147	45	84
148	34	87
149	65	78
150	91	2
151	12	13
152	13	89
153	29	88
154	13	23
155	26	12
156	70	70
157	79	46
158	69	45
159	13	37
160	58	15
161	65	34
162	50	59
163	18	76
164	47	11
165	94	69
