Id	Lobe	X	Y	Z	Property1	Property2	Property3	Property4	Property5	Property6	Property7	Property8	Property9	Property10
MIN_VAL	NA	-10	-10	-10	0	5	-6	NA	-5	0	5	0	NA	NA
MAX_VAL	NA	10	10	10	1	23	2.8	NA	1	10	10	10	NA	NA
USE_AS	G	P	P	P	C	W	D	L	C	C	D	D	L	L
0	Lobe1	4	1	0	0.2	10	2	Layer1 Label	-3.8	1	9	4	Layer2 Label	Layer3 Label
1	Lobe1	3	2	0	0.5	12	-2	Layer1 Label	-1.11	2	6	4	Layer2 Label	Layer3 Label
2	Lobe1	2	3	0	0.3	19	-3	Layer1 Label	0.6	3	7	4	Layer2 Label	Layer3 Label
3	Lobe1	1	4	0	0.4	20	-5	Layer1 Label	-3	4	5	4	Layer2 Label	Layer3 Label
4	Lobe1	-1	3	0	0.6	11	-6	Layer1 Label	-1	5	6	4	Layer2 Label	Layer3 Label
5	Lobe1	-2	2	0	0.1	7	-2	Layer1 Label	0	6	9	4	Layer2 Label	Layer3 Label
6	Lobe1	-2.5	1	0	0.7	5	1	Layer1 Label	-4	7	5	4	Layer2 Label	Layer3 Label
7	Lobe1	-5	-1	0	0.8	5	2	Layer1 Label	-5	8	6	4	Layer2 Label	Layer3 Label
8	Lobe1	-4	-2	0	0.5	10	-1	Layer1 Label	-2	9	7	4	Layer2 Label	Layer3 Label
9	Lobe1	-3	-3	0	0.7	8	1	Layer1 Label	-3	10	9	4	Layer2 Label	Layer3 Label
10	Lobe1	-2	-4	0	0.6	21	0	Layer1 Label	-3	5	6	4	Layer2 Label	Layer3 Label
11	Lobe1	-1	-5	0	0.4	16	2	Layer1 Label	1	5	7	4	Layer2 Label	Layer3 Label
12	Lobe2	1	-3	0	0.1	21	1	Layer1 Label	-4	2	5	4	Layer2 Label	Layer3 Label
13	Lobe2	2	-2	0	0.2	21	-3	Layer1 Label	-5	1	9	4	Layer2 Label	Layer3 Label
14	Lobe2	3	-1	0	0.4	5	-2	Layer1 Label	-2	3	7	4	Layer2 Label	Layer3 Label
15	Lobe2	0	4	-8	0.4	7	2	Layer1 Label	-2	0	10	8	Layer2 Label	Layer3 Label
16	Lobe3	-1	9	6	0.05	10	-5	Layer1 Label	-5	7	7	2	Layer2 Label	Layer3 Label
17	Lobe3	7	6	0	0.62	10	-6	Layer1 Label	-1	4	7	10	Layer2 Label	Layer3 Label
18	Lobe3	9	4	-7	0.95	9	3	Layer1 Label	-1	9	10	1	Layer2 Label	Layer3 Label
19	Lobe3	-7	-1	8	0.36	14	-5	Layer1 Label	-3	10	6	8	Layer2 Label	Layer3 Label
20	Lobe3	4	-6	4	0.35	14	-3	Layer1 Label	-5	2	5	0	Layer2 Label	Layer3 Label
21	Lobe3	-10	-5	-1	0.46	12	-3	Layer1 Label	-1	10	9	1	Layer2 Label	Layer3 Label
22	Lobe3	-6	10	2	0.65	10	3	Layer1 Label	0	4	8	6	Layer2 Label	Layer3 Label
23	Lobe3	6	-9	-2	0.91	14	-5	Layer1 Label	-4	0	8	8	Layer2 Label	Layer3 Label
24	Lobe3	-5	-2	-2	0.91	23	-2	Layer1 Label	-1	4	8	8	Layer2 Label	Layer3 Label
25	Lobe3	-9	10	3	0.79	8	3	Layer1 Label	1	10	8	7	Layer2 Label	Layer3 Label
26	Lobe3	-8	-6	7	0.87	6	-5	Layer1 Label	-3	6	6	1	Layer2 Label	Layer3 Label
27	Lobe3	-6	-9	-3	0.54	11	3	Layer1 Label	0	7	6	1	Layer2 Label	Layer3 Label
28	Lobe3	-8	-5	-9	0.57	15	0	Layer1 Label	0	1	9	5	Layer2 Label	Layer3 Label
29	Lobe3	-5	-4	2	0.16	18	-5	Layer1 Label	0	10	7	5	Layer2 Label	Layer3 Label
30	Lobe3	9	10	10	0.36	21	-3	Layer1 Label	-2	9	10	7	Layer2 Label	Layer3 Label
