Id	Lobe	X	Y	Z	Property1	Property2	Property3	Property4
MIN_VAL	NA	-10	-10	-10	0	5	-6	NA
MAX_VAL	NA	10	10	10	1	23	2.8	NA
USE_AS	G	P	P	P	C	W	D	L
0	Lobe1	4	1	0	0.2	10	2	N1
1	Lobe1	3	2	0	0.5	12	-2	N2
2	Lobe1	2	3	0	0.3	19	-3	N3
3	Lobe1	1	4	0	0.4	20	-5	N4
4	Lobe1	-1	3	0	0.6	11	-6	N5
5	Lobe1	-2	2	0	0.1	7	-2	N6
6	Lobe1	-2.5	1	0	0.7	5	1	N7
7	Lobe1	-5	-1	0	0.8	5	2	N8
8	Lobe1	-4	-2	0	0.5	10	-1	N9
9	Lobe1	-3	-3	0	0.7	8	1	N10
10	Lobe1	-2	-4	0	0.6	21	0	N11
11	Lobe1	-1	-5	0	0.4	16	2	N12
12	Lobe2	1	-3	0	0.1	21	1	N13
13	Lobe2	2	-2	0	0.2	21	-3	N14
14	Lobe2	3	-1	0	0.4	5	-2	N15
15	Lobe2	0	4	-8	0.4	7	2	N16
16	Lobe3	-1	9	6	0.05	10	-5	N17
17	Lobe3	7	6	0	0.62	10	-6	N18
18	Lobe3	9	4	-7	0.95	9	3	N19
19	Lobe3	-7	-1	8	0.36	14	-5	N20
20	Lobe3	4	-6	4	0.35	14	-3	N21
21	Lobe3	-10	-5	-1	0.46	12	-3	N22
22	Lobe3	-6	10	2	0.65	10	3	N23
23	Lobe3	6	-9	-2	0.91	14	-5	N24
24	Lobe3	-5	-2	-2	0.91	23	-2	N25
25	Lobe3	-9	10	3	0.79	8	3	N26
26	Lobe3	-8	-6	7	0.87	6	-5	N27
27	Lobe3	-6	-9	-3	0.54	11	3	N28
28	Lobe3	-8	-5	-9	0.57	15	0	N29
29	Lobe3	-5	-4	2	0.16	18	-5	N30
30	Lobe3	9	10	10	0.36	21	-3	N31
31	Lobe3	7	-9	-10	0.77	6	-1	N32
32	Lobe3	-5	-7	-4	0.57	9	2	N33
33	Lobe3	-5	4	-4	0.45	23	-4	N34
34	Lobe3	-9	10	2	0.67	9	-2	N35
35	Lobe3	3	-9	9	0.59	11	1	N36
36	Lobe3	-1	-6	6	0.66	19	-1	N37
37	Lobe3	-6	-4	-9	0.48	10	-2	N38
38	Lobe3	-8	3	9	0.7	5	-2	N39
39	Lobe3	3	4	-1	0.95	23	-6	N40
40	Lobe3	1	-6	0	0.48	8	-4	N41
41	Lobe4	2	8	0	0.83	22	-4	N42
42	Lobe4	8	0	4	0.55	17	3	N43
43	Lobe4	0	-1	1	0.94	7	-3	N44
44	Lobe4	-6	-6	8	0.84	10	-2	N45
45	Lobe4	4	7	-4	0.87	23	-1	N46
46	Lobe4	3	4	-9	0.8	22	-1	N47
47	Lobe4	-3	-8	6	0.25	22	2	N48
48	Lobe4	0	-4	-5	0.39	11	0	N49
49	Lobe4	-4	0	4	0.21	6	-6	N50
50	Lobe4	10	-8	9	0.39	7	-1	N51
51	Lobe4	2	3	-5	0.7	22	2	N52
52	Lobe4	-5	-5	-3	0.74	7	-1	N53
53	Lobe5	-4	1	2	0.23	20	1	N54
54	Lobe5	-10	9	-1	0.58	11	3	N55
55	Lobe5	5	-7	9	0.24	22	-3	N56
56	Lobe5	-5	6	-3	0.04	18	-4	N57
57	Lobe5	6	10	3	0.12	15	-6	N58
58	Lobe5	5	-9	1	0.83	22	0	N59
59	Lobe5	-7	-5	-10	0.03	14	0	N60
60	Lobe5	8	5	10	0.59	13	0	N61
61	Lobe5	9	-6	-3	0.72	20	1	N62
62	Lobe5	1	3	6	0.87	13	-1	N63
63	Lobe5	7	-6	7	0.46	17	-4	N64
64	Lobe5	-2	1	0	0.45	13	-6	N65
65	Lobe5	0	-5	-10	0.75	5	3	N66
66	Lobe5	4	10	2	0.93	23	2	N67
67	Lobe5	-8	8	9	0.53	6	-3	N68
68	Lobe5	9	-6	10	0.56	8	-3	N69
69	Lobe5	7	1	-8	0.09	20	-5	N70
70	Lobe5	-1	6	1	0.18	18	-2	N71
71	Lobe5	5	-4	-9	0.21	12	-6	N72
72	Lobe5	9	-10	-3	0.99	8	-6	N73
73	Lobe5	-1	4	4	0.61	17	-4	N74
74	Lobe5	-2	-1	-6	0.31	13	1	N75
75	Lobe5	-3	0	-9	0.2	5	-2	N76
76	Lobe5	5	10	-9	0.72	5	-4	N77
77	Lobe5	9	7	-10	0.9	20	0	N78
78	Lobe5	-3	-7	-9	0.79	10	-2	N79
79	Lobe5	0	7	-5	0.91	9	0	N80
80	Lobe5	-1	1	8	0.51	10	-1	N81
81	Lobe5	-8	2	9	0.76	6	-1	N82
82	Lobe5	0	-8	10	0.52	19	0	N83
83	Lobe5	-1	7	-2	0.8	8	-3	N84
84	Lobe5	-2	8	7	0.02	18	-1	N85
85	Lobe5	-9	3	3	0.74	12	-1	N86
86	Lobe5	8	2	2	0.54	10	3	N87
87	Lobe5	-6	-7	-6	0.44	22	1	N88
88	Lobe5	3	0	-5	0.98	10	-3	N89
89	Lobe6	4	-6	2	0.53	8	-1	N90
90	Lobe6	3	-8	-10	0.26	23	-3	N91
91	Lobe6	-6	0	2	0.93	5	-3	N92
92	Lobe6	2	-5	-5	0.27	20	-6	N93
93	Lobe6	5	-8	1	0.38	12	-5	N94
94	Lobe6	-8	-2	-1	0.99	8	1	N95
95	Lobe6	5	4	-9	0.77	5	2	N96
